ID;Využiží budovy;Kraj;Okres;MČ;Katastrální území;Ulice č.p./č.e.;Město;PSČ;GPS;Vymezené byty;Vlastnictví;Typ budovy;Ochrana;Datum dokončení RUIAN
879590101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Vodičkova 709;Praha 2 - Nové Město;11000;N 50.0815533703108 E 14.4243770057724;Ne;Ostatní;budova s číslem popisným;;31.12.2000
879607101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Václavské náměstí 841;Praha 2 - Nové Město;11000;N 50.0841224909442 E 14.4249750401906;Ne;Ostatní;budova s číslem popisným;;14.09.2012
879624101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Hybernská 1002;Praha 2 - Nové Město;11000;N 50.0870000190193 E 14.431301327179;Ne;Ostatní;budova s číslem popisným;;
879628101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Jungmannova 740;Praha 2 - Nové Město;11000;N 50.0813874582802 E 14.4226013367751;Ne;Osobní;budova s číslem popisným;;
879636101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Soukenická 1189;Praha 2 - Nové Město;11000;N 50.0914224838935 E 14.4307211208399;Ne;Ostatní;budova s číslem popisným;;
879641101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Opletalova 987;Praha 2 - Nové Město;11000;N 50.0859475733061 E 14.433928067656;Ne;Ostatní;budova s číslem popisným;;
879647101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Jeruzalémská 1310;Praha 2 - Nové Město;11000;N 50.0847117271881 E 14.4319802284307;Ne;Ostatní;budova s číslem popisným;;
879660101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Olivova 935;Praha 2 - Nové Město;11000;N 50.0826038708517 E 14.429992711365;Ne;Ostatní;budova s číslem popisným;;
879666101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Legerova 1876;Praha 2 - Nové Město;12000;N 50.0703798329991 E 14.4304943587714;Ne;Ostatní;budova s číslem popisným;;
879670101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Klimentská 1205;Praha 2 - Nové Město;11000;N 50.091427235294 E 14.4285873905221;Ne;Obecní;budova s číslem popisným;;
879727101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Vodičkova 701;Praha 2 - Nové Město;11000;N 50.0809847183761 E 14.4254376319929;Ne;Ostatní;budova s číslem popisným;;
879729101;stavba občanského vybavení;Hlavní město Praha;Praha 2;Nové Město;Nové Město;Černá 160;Praha 2 - Nové Město;11000;N 50.0794969120955 E 14.4185711708463;Ne;Ostatní;budova s číslem popisným;;
