id;typ_datasetu;id_subjektu;vyuziti_budovy;kraj;okres;mc;katastralni_uzemi;katastralni_uzemi_klic;ku_kod;ulice_cp;mesto;psc;gps_text;gps_lat;gps_lon;vymezene_byty;vlastnictvi;typ_budovy;ochrana;datum_dokonceni_ruian;geocoding_shoda;geocoding_adresa;geocoding_metoda;pocet_ov_7km;created_at;updated_at
238845;cinzovni_domy;565865206;bytový dům;Středočeský;Mělník;Mělník;Mělník;Mělník;;Nádražní 2003/13;Mělník - Mělník;27601;N 50.3528 E 14.4915;50,3528;14,4915;Ne;Osobní;Cihlový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
239082;cinzovni_domy;919086504;bytový dům;Středočeský;Mělník;Mělník;Mělník;Mělník;;Zborovské nám. 2813;Mělník - Mělník;27601;N 50.3471 E 14.4808;50,3471;14,4808;Ne;Osobní;Panelový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
239089;cinzovni_domy;542103206;bytový dům;Středočeský;Mělník;Mělník;Mělník;Mělník;;Cukrovarská 2069/7;Mělník - Mělník;27601;N 50.3416 E 14.4924;50,3416;14,4924;Ne;Osobní;Cihlový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
239090;cinzovni_domy;546473206;bytový dům;Středočeský;Mělník;Mělník;Mělník;Mělník;;Kpt. Jaroše 2729/7;Mělník - Mělník;27601;N 50.3516 E 14.4796;50,3516;14,4796;Ne;Osobní;Cihlový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
239124;cinzovni_domy;971444305;bytový dům;Středočeský;Mělník;Mělník;Mělník;Mělník;;Plavební 753/14;Mělník - Mělník;27601;N 50.3529 E 14.4693;50,3529;14,4693;Ne;Osobní;Cihlový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
239136;cinzovni_domy;40763374010;bytový dům;Středočeský;Mělník;Mělník;Mělník;Mělník;;Kpt. Jaroše 290/13;Mělník - Mělník;27601;N 50.3515 E 14.4803;50,3515;14,4803;Ne;Osobní;Cihlový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
239149;cinzovni_domy;44484365010;bytový dům;Středočeský;Mělník;Mělník;Mělník;Mělník;;Labská 1243/39;Mělník - Mělník;27601;N 50.3706 E 14.46;50,3706;14,46;Ne;Osobní;Cihlový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
239169;cinzovni_domy;28476965010;rodinný dům;Středočeský;Mělník;Mělník;Mělník;Mělník;;Labská 2785;Mělník - Mělník;27601;N 50.3704 E 14.4602;50,3704;14,4602;Ne;Osobní;Cihlový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
245901;cinzovni_domy;732309206;objekt k bydlení;Středočeský;Mělník;Mělník;Mělník;Mělník;;Kokořínská 1623/100;Mělník - Mělník;27601;N 50.372 E 14.5187;50,372;14,5187;Ne;Osobní;Cihlový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
245902;cinzovni_domy;919312304;objekt k bydlení;Středočeský;Mělník;Mělník;Mělník;Mělník;;Chloumecká 1717;Mělník - Mělník;27601;N 50.3695 E 14.496;50,3695;14,496;Ne;Osobní;Cihlový dům;;;;;;0;20.04.2026 18:24;20.04.2026 18:24
975360101;obcanska_vybavenost;;;Hlavní město Praha;Praha 6;;Nebušice;Nebušice;;;Praha 6 - Nebušice;16400;N 50.1120618708715 E 14.3194250756534;50,1120619;14,3194251;Ne;Osobní;budova bez čísla popisného nebo evidenčního;;;;;;;20.04.2026 18:24;20.04.2026 18:24
