ID;ID Subjektu;Využití budovy;Kraj;Okres;MČ;Katastrální území;Ulice č.p./č.e.;Město;PSČ;GPS;Vymezené byty;Vlastnictví;Typ budovy;Ochrana
180331;480224201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Bedrč;Bedrč 14;Benešov - Bedrč;25601;N 49.8078 E 14.7181;Ne;Ostatní;Cihlový dům;
133459;627994601;bytový dům;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Čechova 1947;Benešov - Benešov;25601;N 49.7863 E 14.6905;Ne;Ostatní;Cihlový dům;
133471;525113201;bytový dům;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Tyršova 2075;Benešov - Benešov;25601;N 49.7814 E 14.6862;Ne;Osobní;Cihlový dům;
133481;3443119101;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 2;Benešov - Benešov;25601;N 49.7823 E 14.6895;Ne;Ostatní;Měšťanský dům;
133482;511497201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 4;Benešov - Benešov;25601;N 49.7823 E 14.6898;Ne;Osobní;Měšťanský dům;
133483;3896282101;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 5;Benešov - Benešov;25601;N 49.7823 E 14.69;Ne;Osobní;Měšťanský dům;
133484;564245201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 6;Benešov - Benešov;25601;N 49.7823 E 14.6901;Ne;Osobní;Měšťanský dům;
133485;45995915010;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Malé Náměstí 75;Benešov - Benešov;25601;N 49.7837 E 14.6908;Ne;Osobní;Cihlový dům;
133486;530188201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Malé Náměstí 76;Benešov - Benešov;25601;N 49.7837 E 14.6905;Ne;Osobní;Měšťanský dům;
133488;511624201;rodinný dům;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 102;Benešov - Benešov;25601;N 49.7839 E 14.6896;Ne;Osobní;Měšťanský dům;
133489;41652808010;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 155;Benešov - Benešov;25601;N 49.7834 E 14.6893;Ne;Osobní;Měšťanský dům;
133490;1222118201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 156;Benešov - Benešov;25601;N 49.7833 E 14.6892;Ne;Ostatní;Měšťanský dům;
133491;529830201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 157;Benešov - Benešov;25601;N 49.7832 E 14.6892;Ne;Osobní;Měšťanský dům;
133492;554650201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 158;Benešov - Benešov;25601;N 49.7831 E 14.6891;Ne;Osobní;Měšťanský dům;
133494;548165201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 160;Benešov - Benešov;25601;N 49.783 E 14.6891;Ne;Osobní;Měšťanský dům;
133495;512344201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Masarykovo náměstí 161;Benešov - Benešov;25601;N 49.7829 E 14.689;Ne;Osobní;Měšťanský dům;
133496;532436201;objekt k bydlení;Středočeský;Benešov;Benešov;Benešov u Prahy - Benešov;Vnoučkova 165;Benešov - Benešov;25601;N 49.7824 E 14.6883;Ne;Osobní;Měšťanský dům;
